resp_id,aes_canton,aes_langreg,t0sex,t0fmedu_comp,t0immig,t1bqvalids,t2bqvalids,t3bqvalids,t1wt,t2wt,t3wt,t0hisei08_3q,t0wlem_3q,t0st_nprog_req3,t1educ_class_1_r,t2educ_class_1_r,t3educ_class_1_r
1011388,13,1,1,1,2,1,1,1,5.098045498404772,5.376998840592946,6.774951954841254,1,1,2,3,6,6
1011393,25,2,2,1,2,1,1,1,9.955247374170936,11.36214580653501,9.646194356421542,1,3,1,8,8,8
1011394,2,2,1,0,2,1,1,1,1.783362235865803,1.68584082097164,1.914839870946611,2,2,1,8,8,8
1011395,3,1,2,1,3,1,1,0,3.310988116147295,4.392640435489637,,1,2,2,1,1,
1011397,5,1,2,1,1,1,1,1,4.443374714560015,4.164281428351648,3.94121091176567,1,3,1,8,8,8
1011398,18,1,2,2,1,1,1,1,13.55285841092091,12.60066204731821,12.78379779582728,2,3,1,6,6,6
1011399,22,2,1,1,1,1,1,1,35.34312750860273,35.33267751261641,38.29384988807064,2,2,1,8,8,8
1011401,11,1,1,2,1,1,1,1,5.319766078721265,5.627555262114982,5.80268604542535,3,3,1,8,8,8
1011402,1,1,2,1,1,1,1,1,10.03237876308333,10.11777267961871,9.635906459554771,1,3,2,6,6,6
1011407,20,1,1,1,1,1,0,0,.0320266235545638,,,1,1,3,6,,
1011409,2,1,2,1,1,1,0,0,.0845133117539494,,,1,1,3,6,,
1011410,24,2,2,0,2,1,1,1,7.128343781250046,8.192087637397337,8.925735143104701,1,1,2,7,7,6
1011415,12,1,1,2,3,1,1,1,1.464331734333952,1.606382893076331,1.569557779851991,3,2,1,8,8,8
1011417,20,1,2,1,2,1,1,0,60.52545898415795,44.12403521184722,,1,2,2,6,6,
1011419,5,1,1,2,1,1,1,1,5.938188543020429,5.434583093037067,5.761315316248312,1,1,3,6,6,6
1011420,20,1,2,0,1,0,0,1,,,28.3689921768753,1,1,3,,,1
1011421,9,1,1,2,1,1,1,1,3.364905464766447,4.018596641224382,6.264340097339457,2,3,2,4,2,7
1011422,26,2,1,,2,1,1,0,12.45728787976465,12.19767070380603,,1,1,2,6,6,
1011423,26,2,1,0,2,1,1,1,1.770923667997497,1.556804255452271,2.107135332130655,3,2,2,6,6,6
1011428,20,1,1,2,1,1,1,1,5.177841524980988,4.913848737257594,4.863318661840412,3,3,2,9,9,9
1011430,22,2,2,2,3,1,1,1,17.3713959058849,29.71309185427643,17.26406802817601,,3,1,8,8,8
1011432,5,1,2,0,2,1,1,1,8.367752130758989,6.017543593808139,6.45077641850164,1,1,3,6,6,6
1011436,1,1,2,1,1,1,1,1,25.80371071968937,19.57183588756911,20.2770321777538,1,3,2,7,7,7
1011438,18,1,1,1,1,1,1,1,1.676330016780686,1.86528204719643,2.085028823523911,1,2,2,6,6,6
1011440,24,2,1,1,1,1,1,1,4.192821637129253,5.283256671794211,5.204355406202515,2,1,2,4,6,6
1011442,3,1,2,2,3,0,0,1,,,13.23996003852151,3,3,1,,,1
1011445,20,1,1,2,1,1,1,1,3.95503965008244,4.559678521693153,5.010016213476587,3,1,2,2,6,6
1011446,26,2,1,2,1,1,1,1,1.486475455015082,1.226788948243187,1.525942196294178,2,2,1,8,8,8
1011451,18,1,2,1,1,1,1,1,4.861384340275126,4.685290770485008,6.437445482486365,2,3,1,7,7,7
1011456,11,1,2,0,2,1,.e,.e,.2645197574222024,,,1,1,3,6,,
1011460,3,1,1,1,1,1,1,1,3.641640919769924,2.707252694191917,2.776078105209976,3,1,3,6,6,6
1011461,20,1,1,2,1,1,1,1,2.193277423152061,3.099908305556457,4.040514171448271,3,3,2,3,6,6
1011463,14,1,1,2,1,1,0,0,1.101003700563616,,,3,2,3,4,,
1011465,13,1,1,1,1,1,1,1,3.964934211582766,3.276551011413729,3.92320479804343,,3,2,6,6,6
